,name,name_trans
0,soundness,안전함
1,soundness,믿을만함
2,soundness,안전성
3,soundness,올바름
4,recursive primitive definition,원시적 자기참조 정의
5,signature matching,모듈타입에 맞추기
6,signature matching,모듈타입에 대보기
7,mutable,변할수있는
8,mutable,가변 
9,abstraction,핵심 드러내기
10,abstraction,속내용 감추기
11,abstraction,요약
12,runtime,실행중
13,runtime,실행환경
14,runtime,실행 와중
15,runtime,실행시간
16,normal form,바른꼴
17,normal form,표준형
18,effect type,값종류 이외의 성질을 추적하는 타입
19,effect type,기타성질을 추적하는 타입
20,unary,인자가 하나인
21,structure bind,모듈 정의
22,method overloading,여러함수를 같은 이름으로
23,calculus,계산법
24,calculus,셈법
25,tree,가지구조
26,tree,나무구조
27,functor signature instantiation,모듈함수 타입의 실현
28,interpreter,실행기
29,eager evaluation,적극적인 계산법
30,eager evaluation,바로계산
31,eager evaluation,부지런한 계산
32,eager evaluation,적극적인 계산
33,eager evaluation,부지런한 계산법
34,abstract type,핵심만 드러낸 타입
35,abstract type,구현된 속사정이 감추어진 타입
36,abstract type,속내용이 감추어진 타입
37,refactoring,코드 정리정돈하기
38,refactoring,코드정리하기
39,rewrite rule,다시쓰기 규칙
40,function application,함수 사용
41,function application,함수 호출
42,memoization,기억해두기
43,memoization,메모해두기
44,monolithic,일체형
45,monolithic,단조로운
46,monolithic,"통짜, 통짜형"
47,monolithic,"하나로, 한통으로"
48,formal,엄밀 
49,hashing,외따로보내버리기
50,hashing,다른세상에서멀리대응시키기
51,hashing,으깨기
52,hashing,멀리대응시키기
53,cost-ineffective,품이 많이 드는
54,cost-ineffective,비용이 아까운
55,cost-ineffective,돈이 아까운
56,cost-ineffective,가성비 나쁜
57,universal machine,보편만능 기계
58,insertion sort,끼워넣기 정렬
59,signature instantiation,모듈 타입의 실현
60,kind,타입의 타입
61,applicative language,계산중심 언어
62,applicative language,함수형 언어
63,applicative language,값중심 언어
64,garbage collection,메모리 재활용
65,garbage collection,메모리 우렁각시
66,garbage collection,메모리 수거
67,garbage collection,노는 메모리 자동 수거
68,garbage collection,자원 재활용
69,garbage collection,스마트 로봇 청소기
70,garbage collection,"쓰레기통 비우기, 휴지통 비우기"
71,Sparse Reward,드물게 발생하는 보상
72,Sparse Reward,드문 보상
73,substitution,바꿔치기
74,immutable,변할수없는
75,immutable,불변 
76,decision procedure,예-아니오 판정 프로그램
77,decision procedure,예-아니오 판정 알고리즘
78,pointer,주소 변수
79,pointer,메모리주소
80,object-oriented language,물건중심 언어
81,object-oriented language,메세지 중심 언어
82,well-founded,탄탄한
83,well-founded,바닥이 있는
84,well-founded,바닥이 갖추어진
85,well-founded,올바르게 기초한
86,separated sum,출신기억 합집합
87,separated sum,출신을 기억하는 합집합
88,principal type,가장 일반적인 타입
89,principal type,대표 타입
90,cross compilation,번역 
91,hazard pointer,에비에비 포인터
92,container,컨테이너
93,container,수송용기
94,static scope,미리 결정된 이름의 유효범위
95,static scope,정적 유효범위
96,type scheme instantiation,타입 틀 적용
97,type scheme instantiation,타입 틀 구체화
98,predicate logic,모든-어떤 논리
99,predicate logic,술어 논리
100,differential,차이 
101,declaration,선언
102,convex programming,볼록 프로그래밍
103,call by reference,주소전달 호출
104,non-expansive,새 메모리를 쓰지않는
105,predicate abstraction,논리식 요약
106,predicate abstraction,논리조건의 요약
107,predicate abstraction,조건식 요약
108,predicate abstraction,논리식을 변수 하나로 요약하기
109,predicate abstraction,논리조건을 변수 하나로 요약하기
110,predicate abstraction,조건식을 변수 하나로 요약하기
111,compilation,프로그램 번역
112,compilation,언어의 기계어 변환
113,signature,모듈타입
114,decision problem,예-아니오 문제
115,abstract semantics,요약 의미
116,abstract semantics,요약된 의미구조
117,primitive recursive function,기본적인 재귀함수
118,primitive recursive function,원시적인 재귀함수
119,parsing,문장구조복구하기
120,parsing,문장모양확인하기
121,parsing,쪼개서 이해하기
122,parsing,문장구조확인하기
123,functional style,함수형 스타일
124,functional style,함수중심 스타일
125,functional style,값중심 스타일
126,typing rule,타입 결정 규칙
127,typing rule,타입 유추 규칙
128,function abstraction,함수로 핵심 간추리기
